,prediction,predict_proba
AASDHPPT,0,0.2487581555379993
AFG3L2,1,0.5709683571440549
AGAP6,1,0.6151870773051363
AKIRIN1,0,0.2614440622385353
APBB1IP,1,0.527257644051114
BIRC3,0,0.22969889735744622
C9orf85,0,0.07600855724244623
CLASRP,1,0.7632479242570797
NUTM2G,0,0.02315024011442957
PF4,0,0.03642774300515087
